Algorithm_name,Size,States,Time (Seconds)
Backtracking,4,26,0.0
Forward Checking,4,26,0.0
Backtracking,4,26,0.0
Forward Checking,4,26,0.0
Backtracking,4,26,0.0
Forward Checking,4,26,0.0
Backtracking,4,26,0.0
Forward Checking,4,26,0.0
Backtracking,4,26,0.0
Forward Checking,4,26,0.0
Backtracking,8,876,0.0009999275207519531
Forward Checking,8,572,0.0029973983764648438
Backtracking,8,876,0.0009999275207519531
Forward Checking,8,572,0.002998828887939453
Backtracking,8,876,0.0009992122650146484
Forward Checking,8,572,0.0039980411529541016
Backtracking,8,876,0.0009992122650146484
Forward Checking,8,572,0.002998828887939453
Backtracking,8,876,0.0010001659393310547
Forward Checking,8,572,0.0029981136322021484
Backtracking,10,975,0.0009999275207519531
Forward Checking,10,305,0.001998424530029297
Backtracking,10,975,0.0019991397857666016
Forward Checking,10,305,0.0019991397857666016
Backtracking,10,975,0.00099945068359375
Forward Checking,10,305,0.0019991397857666016
Backtracking,10,975,0.0019998550415039062
Forward Checking,10,305,0.0019979476928710938
Backtracking,10,975,0.0019991397857666016
Forward Checking,10,305,0.001999378204345703
Backtracking,12,3066,0.0039980411529541016
Forward Checking,12,1770,0.016991138458251953
Backtracking,12,3066,0.003998279571533203
Forward Checking,12,1770,0.016993999481201172
Backtracking,12,3066,0.003998279571533203
Forward Checking,12,1770,0.015992403030395508
Backtracking,12,3066,0.0049974918365478516
Forward Checking,12,1770,0.015992403030395508
Backtracking,12,3066,0.003998279571533203
Forward Checking,12,1770,0.015991926193237305
Backtracking,15,20280,0.03498196601867676
Forward Checking,15,405,0.004997730255126953
Backtracking,15,20280,0.032984018325805664
Forward Checking,15,405,0.005997180938720703
Backtracking,15,20280,0.03598332405090332
Forward Checking,15,405,0.007996082305908203
Backtracking,15,20280,0.03698086738586426
Forward Checking,15,405,0.004997968673706055
Backtracking,15,20280,0.031984567642211914
Forward Checking,15,405,0.005997419357299805
